,Species,TaxID,Common Name,Genome Assembly Name,N50,Number of Genes,Number of Transcripts,FASTA File,FASTA Path,GTF File,GTF Path
0,Sus_scrofa,9823,Sus scrofa,Sus_scrofa.Sscrofa11.1.dna_sm.toplevel.fa.gz,,,,Sus_scrofa.Sscrofa11.1.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9823-Sus_scrofa/Sus_scrofa.Sscrofa11.1.dna_sm.toplevel.fa.gz,Sus_scrofa.Sscrofa11.1.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9823-Sus_scrofa/Sus_scrofa.Sscrofa11.1.110.gtf.gz
1,Mus_musculus,10090,Mus musculus,Mus_musculus.GRCm39.dna_sm.toplevel.fa.gz,,,,Mus_musculus.GRCm39.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/10090-Mus_musculus/Mus_musculus.GRCm39.dna_sm.toplevel.fa.gz,Mus_musculus.GRCm39.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/10090-Mus_musculus/Mus_musculus.GRCm39.110.gtf.gz
2,Callithrix_jacchus,9483,Callithrix jacchus,Callithrix_jacchus.mCalJac1.pat.X.dna_sm.toplevel.fa.gz,,,,Callithrix_jacchus.mCalJac1.pat.X.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9483-Callithrix_jacchus/Callithrix_jacchus.mCalJac1.pat.X.dna_sm.toplevel.fa.gz,Callithrix_jacchus.mCalJac1.pat.X.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9483-Callithrix_jacchus/Callithrix_jacchus.mCalJac1.pat.X.110.gtf.gz
3,Danio_rerio,7955,Danio rerio,Danio_rerio.GRCz11.dna_sm.toplevel.fa.gz,,,,Danio_rerio.GRCz11.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/7955-Danio_rerio/Danio_rerio.GRCz11.dna_sm.toplevel.fa.gz,Danio_rerio.GRCz11.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/7955-Danio_rerio/Danio_rerio.GRCz11.110.gtf.gz
4,Otolemur_garnettii,30611,Otolemur garnettii,Otolemur_garnettii.OtoGar3.dna_sm.toplevel.fa.gz,,,,Otolemur_garnettii.OtoGar3.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/30611-Otolemur_garnettii/Otolemur_garnettii.OtoGar3.dna_sm.toplevel.fa.gz,Otolemur_garnettii.OtoGar3.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/30611-Otolemur_garnettii/Otolemur_garnettii.OtoGar3.110.gtf.gz
5,Mustela_putorius_furo,9669,Mustela putorius furo,Mustela_putorius_furo.MusPutFur1.0.dna_sm.toplevel.fa.gz,,,,Mustela_putorius_furo.MusPutFur1.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9669-Mustela_putorius_furo/Mustela_putorius_furo.MusPutFur1.0.dna_sm.toplevel.fa.gz,Mustela_putorius_furo.MusPutFur1.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9669-Mustela_putorius_furo/Mustela_putorius_furo.MusPutFur1.0.110.gtf.gz
6,Canis_lupus_familiaris,9615,Canis lupus familiaris,Canis_lupus_familiaris.ROS_Cfam_1.0.dna_sm.toplevel.fa.gz,,,,Canis_lupus_familiaris.ROS_Cfam_1.0.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9615-Canis_lupus_familiaris/Canis_lupus_familiaris.ROS_Cfam_1.0.dna_sm.toplevel.fa.gz,Canis_lupus_familiaris.ROS_Cfam_1.0.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9615-Canis_lupus_familiaris/Canis_lupus_familiaris.ROS_Cfam_1.0.110.gtf.gz
7,Procavia_capensis,9813,Procavia capensis,Procavia_capensis.proCap1.dna_sm.toplevel.fa.gz,,,,Procavia_capensis.proCap1.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9813-Procavia_capensis/Procavia_capensis.proCap1.dna_sm.toplevel.fa.gz,Procavia_capensis.proCap1.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9813-Procavia_capensis/Procavia_capensis.proCap1.110.gtf.gz
8,Bos_taurus,9913,Bos taurus,Bos_taurus.ARS-UCD1.2.dna_sm.toplevel.fa.gz,,,,Bos_taurus.ARS-UCD1.2.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9913-Bos_taurus/Bos_taurus.ARS-UCD1.2.dna_sm.toplevel.fa.gz,Bos_taurus.ARS-UCD1.2.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/9913-Bos_taurus/Bos_taurus.ARS-UCD1.2.110.gtf.gz
9,Chlorocebus_sabaeus,60711,Chlorocebus sabaeus,Chlorocebus_sabaeus.ChlSab1.1.dna_sm.toplevel.fa.gz,,,,Chlorocebus_sabaeus.ChlSab1.1.dna_sm.toplevel.fa.gz,/home/matthew.schmitz/Matthew/genome/ensembl/60711-Chlorocebus_sabaeus/Chlorocebus_sabaeus.ChlSab1.1.dna_sm.toplevel.fa.gz,Chlorocebus_sabaeus.ChlSab1.1.110.gtf.gz,/home/matthew.schmitz/Matthew/genome/ensembl/60711-Chlorocebus_sabaeus/Chlorocebus_sabaeus.ChlSab1.1.110.gtf.gz
